Teacher_id,score1,score2,score3,score4,score5,score6,score7,score8,score9,score10,score11,score12,score13,score14,score15,score16,score17,score18,score19,score20,score21,score22
980755052,4,6,6,6,6,4,3,2,5,5,3,5,6,3,3,4,3,3,1,2,1,2
968485078,4,6,7,6,6,4,3,2,5,4,3,5,6,3,3,4,3,3,1,2,1,2
850091158,4,6,7,6,5,5,3,2,5,5,4,5,5,3,3,4,3,3,1,2,1,2
938097144,5,6,7,6,6,5,2,2,5,6,2,5,5,3,3,4,3,3,1,2,1,2
900459736,4,6,7,6,6,4,2,2,6,5,4,6,4,3,3,4,3,2,1,2,1,2
907943997,5,6,7,6,5,5,3,2,5,4,3,5,4,3,3,4,3,3,1,2,1,2
906461728,5,7,7,6,6,4,3,2,5,5,2,5,5,3,3,4,3,3,1,2,1,2
910454214,4,6,7,6,6,4,4,2,5,4,3,5,5,3,3,4,3,3,1,2,1,2
913216859,4,6,7,6,6,4,4,2,5,4,3,5,5,3,3,4,3,3,1,2,1,2
406359927,4,5,6,5,6,4,4,2,4,4,3,5,4,3,3,3,3,3,1,2,1,2
977865948,4,6,7,6,6,4,4,2,4,4,3,5,4,3,3,3,3,2,1,2,1,2
401825245,5,6,7,6,5,4,4,2,5,5,2,4,5,3,3,4,2,3,1,2,1,2
853276004,4,6,7,6,6,4,4,2,5,3,3,5,5,3,3,4,3,3,1,2,1,2
913202164,4,6,7,6,6,4,4,2,5,5,3,5,5,3,3,4,3,3,1,2,1,2
945665354,4,6,7,6,6,4,4,2,5,5,3,5,5,3,3,4,3,3,1,2,1,2
859709644,4,4,6,6,5,3,4,2,4,4,3,6,5,3,3,4,2,3,1,2,1,2
939383568,5,6,7,6,5,4,4,2,5,4,3,5,4,1,3,4,2,3,1,2,1,2
853040657,4,6,6,6,6,4,4,2,5,5,3,5,6,3,3,3,2,3,1,2,1,2
973110670,4,6,7,6,6,4,4,2,5,5,3,5,6,3,3,3,2,3,1,2,1,2
900064205,4,6,7,6,5,5,3,2,5,5,4,5,5,3,3,4,3,3,1,2,1,2
853572311,5,6,7,6,5,4,3,2,5,5,2,4,5,3,3,4,2,3,1,2,1,2
403423981,4,5,7,6,5,3,2,2,4,5,2,5,4,2,3,4,2,2,1,2,1,2
406474395,5,6,7,6,5,4,3,2,5,5,2,4,5,3,3,4,2,3,1,2,1,2
410698427,4,4,7,6,5,3,4,2,4,4,3,6,5,3,3,4,2,3,1,2,1,2
949567580,4,7,7,7,7,4,3,2,4,3,3,5,5,3,3,4,2,2,1,2,1,2
919094060,5,7,7,6,7,5,4,2,5,4,3,3,4,3,3,4,2,3,1,2,1,2
902442078,4,6,7,6,5,5,3,2,5,5,4,5,5,3,3,4,3,3,1,2,1,2
907586069,4,6,7,6,6,4,4,2,5,6,3,4,5,3,3,4,3,3,1,2,1,2
907942197,5,7,7,6,7,5,4,2,5,4,3,3,4,3,3,4,2,3,1,2,1,2
902389196,5,7,7,6,7,5,4,2,5,4,3,3,4,3,3,4,2,3,1,2,1,2
941512303,5,7,7,6,7,5,4,2,5,4,3,3,4,3,3,4,2,3,1,2,1,2
850202847,5,7,7,6,7,5,4,2,5,4,3,3,4,3,3,4,2,3,1,2,1,2
904969409,4,6,7,6,6,4,4,2,5,6,3,4,5,3,3,4,3,3,1,2,1,2
911686699,4,4,6,6,6,4,4,2,4,4,3,5,5,3,3,4,2,3,1,2,1,2
984961466,4,6,6,6,6,4,3,2,5,5,3,5,6,3,3,4,3,3,1,2,1,2
852302116,4,7,7,7,7,4,3,2,4,3,3,5,5,3,3,4,2,2,1,2,1,2
904994597,4,6,7,6,6,4,4,2,5,6,3,5,5,3,3,4,3,2,1,2,2,2
900122409,4,6,7,6,6,4,4,2,5,6,3,5,5,3,3,4,3,2,1,2,2,2
953107901,4,7,7,7,7,4,3,2,4,4,3,5,5,3,3,4,2,2,1,2,1,2
403826068,4,6,6,6,6,4,2,2,5,5,3,5,6,3,3,4,3,3,1,2,1,2
989552252,4,7,7,7,7,4,3,2,4,3,3,5,5,3,3,4,2,2,1,2,1,2
852192368,4,6,7,6,5,5,3,2,5,5,4,5,5,3,3,4,3,3,1,2,1,2
911683332,4,6,7,6,5,5,3,2,5,5,3,5,5,3,3,4,3,3,1,2,1,2
858970445,4,5,7,6,5,3,2,2,4,5,2,5,4,2,3,4,2,2,1,2,1,2
994329175,4,6,7,6,6,4,4,3,5,6,3,5,5,2,3,4,3,3,2,2,1,2
954240850,4,6,7,5,5,4,4,2,5,5,3,5,5,3,3,4,3,3,2,2,1,2
401555594,4,6,7,6,6,5,4,2,5,4,3,4,5,2,3,3,3,3,1,2,1,2
907952691,4,6,7,6,6,5,4,2,5,4,3,5,5,2,3,3,3,3,1,2,1,2
402189757,4,6,6,6,6,4,3,2,5,5,3,5,6,3,3,4,3,3,1,2,1,2
912621182,4,6,7,6,6,4,4,3,5,5,3,5,5,2,3,4,3,3,2,2,1,2
997950167,4,6,7,6,6,5,4,2,5,4,3,5,5,2,3,3,3,3,1,2,1,2
851544346,4,6,6,6,6,4,3,2,5,5,3,5,6,3,3,4,3,3,1,2,1,2
851723775,4,6,7,6,5,5,3,2,5,5,4,5,5,3,3,4,3,3,1,2,1,2
853977841,4,6,6,6,6,4,3,2,5,5,3,5,6,3,3,4,3,3,1,2,1,2
401012653,5,6,7,6,5,4,3,2,5,5,2,4,5,3,3,4,2,3,1,2,1,2
854879103,5,6,7,6,5,4,3,2,5,5,2,4,5,3,3,4,2,3,1,2,1,2
850379611,4,5,7,6,6,4,3,2,5,5,3,5,6,3,3,4,3,3,1,2,1,2
927702787,4,6,7,6,6,4,3,2,5,5,3,5,6,3,3,4,3,3,1,2,1,2
906832084,4,6,7,6,6,4,3,2,5,5,3,5,6,3,3,4,3,3,1,2,1,2
946826138,4,6,7,6,6,4,3,2,5,5,3,5,6,3,3,4,3,3,1,2,1,2
854136140,4,5,7,6,6,4,3,2,5,5,3,5,6,3,3,4,3,3,1,2,1,2
939380949,4,5,7,6,6,4,3,2,5,5,3,5,6,3,3,4,3,3,1,2,1,2
853214500,4,5,7,6,6,4,3,2,5,5,3,5,6,3,3,4,3,3,1,2,1,2
984961474,4,6,7,6,6,4,3,2,5,5,3,5,6,3,3,4,3,3,1,2,1,2
858609795,2,5,7,5,5,4,4,4,5,4,3,5,5,3,3,3,3,3,1,2,1,2
936853365,4,6,7,6,6,4,3,2,5,5,3,5,6,3,3,4,3,3,1,2,1,2
403420359,3,5,7,5,5,3,4,2,5,4,3,5,4,3,3,4,3,3,1,2,1,2
401485187,3,5,7,5,5,3,4,2,5,4,3,5,4,3,3,4,3,3,1,2,1,2
